Year,classical,hypermodern,other
1900,0.9420035149384886,0.0492091388400703,0.008787346221441126
1901,0.9605263157894737,0.02631578947368421,0.013157894736842105
1902,0.9315263908701854,0.06704707560627675,0.0014265335235378032
1903,0.9219269102990033,0.07308970099667775,0.0049833887043189366
1904,0.9485924112607099,0.044063647490820076,0.0073439412484700125
1905,0.9450457951706911,0.05412156536219817,0.0008326394671107411
1906,0.9301634472511144,0.06240713224368499,0.007429420505200594
1907,0.9393115942028986,0.0552536231884058,0.005434782608695652
1908,0.9481865284974094,0.04922279792746114,0.0025906735751295338
1909,0.9357249626307922,0.053811659192825115,0.01046337817638266
1910,0.9559859154929577,0.04225352112676056,0.0017605633802816902
1911,0.9371933267909716,0.0549558390578999,0.007850834151128557
1912,0.9494655004859086,0.0456754130223518,0.004859086491739553
1913,0.9347517730496454,0.06099290780141844,0.00425531914893617
1914,0.914327917282127,0.06499261447562776,0.0206794682422452
1915,0.9337349397590361,0.060240963855421686,0.006024096385542169
1916,0.8724035608308606,0.12462908011869436,0.002967359050445104
1917,0.9183673469387755,0.08163265306122448,0.0
1918,0.8571428571428571,0.14285714285714285,0.0
1919,0.9529702970297029,0.04455445544554455,0.0024752475247524753
1920,0.8888888888888888,0.10425240054869685,0.006858710562414266
1921,0.8540829986613119,0.12182061579651941,0.024096385542168676
1922,0.8383658969804618,0.14298401420959148,0.018650088809946713
1923,0.8025078369905956,0.18181818181818182,0.01567398119122257
1924,0.7994409503843466,0.17889587700908455,0.02166317260656883
1925,0.7064406779661017,0.2705084745762712,0.02305084745762712
1926,0.6843177189409368,0.2973523421588595,0.018329938900203666
1927,0.7061503416856492,0.28018223234624146,0.01366742596810934
1928,0.7355316285329744,0.2510094212651413,0.013458950201884253
1929,0.7071428571428572,0.27380952380952384,0.01904761904761905
1930,0.6892950391644909,0.29177545691906004,0.018929503916449087
1931,0.7041237113402062,0.28144329896907216,0.01443298969072165
1932,0.7150304083405734,0.2675933970460469,0.01737619461337967
1933,0.7327307940606843,0.25112976113621693,0.016139444803098774
1934,0.7413228552717748,0.24230517354289458,0.016371971185330715
1935,0.7174683544303797,0.2643037974683544,0.018227848101265823
1936,0.6903361344537815,0.2920168067226891,0.01764705882352941
1937,0.6799387442572741,0.293517100561511,0.026544155181214904
1938,0.6462970457304735,0.32780250910562525,0.025900445163901255
1939,0.6306552262090483,0.34477379095163807,0.02457098283931357
1940,0.6593115622241836,0.31685789938217124,0.02383053839364519
1941,0.6607773851590106,0.32773851590106007,0.011484098939929329
1942,0.6605876393110436,0.3211752786220871,0.0182370820668693
1943,0.6796714579055442,0.3028747433264887,0.017453798767967144
1944,0.6418439716312057,0.33569739952718675,0.022458628841607566
1945,0.6520979020979021,0.32867132867132864,0.019230769230769232
1946,0.6602329450915141,0.3161397670549085,0.023627287853577372
1947,0.6748068006182381,0.3044822256568779,0.02071097372488408
1948,0.6785964912280702,0.2919298245614035,0.029473684210526315
1949,0.6538121872240212,0.3138062996761849,0.03238151309979394
1950,0.6432116788321168,0.32408759124087594,0.0327007299270073
1951,0.6503480278422273,0.328538283062645,0.02111368909512761
1952,0.5982627578718784,0.37372421281216067,0.028013029315960912
1953,0.5641765214883184,0.40553792904528413,0.03028554946639746
1954,0.5744211686879823,0.4018743109151047,0.023704520396912898
1955,0.597699204872272,0.37895449162578243,0.023346303501945526
1956,0.6185415903261268,0.36350311469402713,0.017955294979846097
1957,0.6044618631293337,0.3786554115164305,0.016882725354235757
1958,0.5923180592991913,0.38931940700808626,0.018362533692722373
1959,0.6203956343792633,0.36067530695770805,0.018929058663028648
1960,0.6094811192610704,0.371773974463461,0.018744906275468622
1961,0.6076573653471772,0.3766385463984426,0.015704088254380272
1962,0.6038928837093974,0.3788742871311679,0.017232829159434665
1963,0.6370235934664247,0.34314233860513355,0.019834067928441793
1964,0.6256929637526653,0.35575692963752664,0.018550106609808104
1965,0.6434370771312584,0.33773116824537663,0.018831754623364907
1966,0.6252065660460504,0.36080202710146525,0.013991406852484302
1967,0.6236989591673339,0.3574859887910328,0.018815052041633307
1968,0.6204774796948068,0.3588481417671671,0.02067437853802609
1969,0.5938881414568519,0.3828560445896598,0.023255813953488372
1970,0.5866276640200585,0.39105725031341415,0.02231508566652737
1971,0.5739845261121856,0.3970019342359768,0.029013539651837523
1972,0.5891867508699574,0.38129913648666064,0.029514112643381878
1973,0.593080993080993,0.38135938135938136,0.02555962555962556
1974,0.5971014492753624,0.3749275362318841,0.02797101449275362
1975,0.5997449170980569,0.37497186585640335,0.0252832170455398
1976,0.6213276053215078,0.3549057649667406,0.023766629711751662
1977,0.6142704245451303,0.3577595433464146,0.027970032108455226
1978,0.6355586941170079,0.3384214243033299,0.026019881579662122
1979,0.6265073388988923,0.34762918098979645,0.02586348011131118
1980,0.6184676467432128,0.3582465929820796,0.023285760274707586
1981,0.6010385978928446,0.37584261247316125,0.023118789633994108
