Year,B21,C23,C24,C25,C33,C37,C38,C42,C51,C53,D20,D32
1834,0.07692307692307693,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,0.15384615384615385,0,0.07692307692307693,0,0.38461538461538464,0.07692307692307693
1835,0,0,0,0,0,0,0,1.0,0,0,0,0
1837,0,0,0,0,0,0,0,0,0,0,1.0,0
1832,1.0,0,0,0,0,0,0,0,0,0,0,0
1831,0,0,0,0,0,1.0,0,0,0,0,0,0
1840,0,0,0,0,0,0,0,0,0,1.0,0,0
1852,0,0.5,0,0,0,0,0,0,0,0,0.5,0
