Year,B21,C23,C24,C25,C33,C37,C38,C42,C51,C53,D20,D32
1834,1,0,0,1,1,0,1,0,1,0,3,0
1835,0,0,0,0,0,0,0,0,0,0,0,0
1837,0,0,0,0,0,0,0,0,0,0,0,0
1832,0,0,0,0,0,0,0,0,0,0,0,0
1831,0,0,0,0,0,0,0,0,0,0,0,0
1840,0,0,0,0,0,0,0,0,0,0,0,0
1852,0,1,0,0,0,0,0,0,0,0,0,0
